iter	MultiClass
0	1.757404498
1	1.709963214
2	1.668369877
3	1.635118442
4	1.593319272
5	1.548545361
6	1.52266732
7	1.479070312
8	1.442679946
9	1.406372929
10	1.362503592
11	1.350957698
12	1.318078255
13	1.283597625
14	1.27318435
15	1.255119517
16	1.221158272
17	1.217378062
18	1.206373159
19	1.18558492
20	1.1725047
21	1.148495508
22	1.134058086
23	1.119723567
24	1.093123679
25	1.076990016
26	1.062738472
27	1.045369256
28	1.038420701
29	1.026055378
30	1.018453417
31	1.001733788
32	0.9878354114
33	0.9711623897
34	0.948706113
35	0.9431786498
36	0.9370534639
37	0.9217614954
38	0.9106651381
39	0.9028016105
40	0.8987236191
41	0.884537093
42	0.8695783036
43	0.8610399409
44	0.8465363014
45	0.8379014275
46	0.8310286183
47	0.8216043098
48	0.8179913932
49	0.8078028122
50	0.8028337678
51	0.7928785436
52	0.78413434
53	0.7794641101
54	0.7665606909
55	0.7624564855
56	0.7577885743
57	0.752359771
58	0.7447375336
59	0.7343642136
60	0.7241338878
61	0.7162303642
62	0.7098555571
63	0.7034772376
64	0.6908501349
65	0.6808268998
66	0.6741076769
67	0.6669909388
68	0.6544640759
69	0.6445601747
70	0.638416271
71	0.6326440411
72	0.6278530346
73	0.622585061
74	0.6196646307
75	0.6138247523
76	0.6094977775
77	0.5990359705
78	0.5893158208
79	0.5833661127
80	0.5771472783
81	0.5727591221
82	0.5680924505
83	0.5632535019
84	0.5539598604
85	0.5489366206
86	0.541098118
87	0.5349524634
88	0.5290477891
89	0.5252371366
90	0.5221354393
91	0.5193053704
92	0.5131155936
93	0.5073262195
94	0.5036130916
95	0.501157618
96	0.4982808855
97	0.4925626777
98	0.4862456541
99	0.4832160621
