iter	Passed	Remaining
0	61	6048
1	66	3279
2	70	2287
3	75	1820
4	81	1539
5	85	1344
6	90	1205
7	95	1095
8	99	1010
9	104	941
10	109	884
11	114	837
12	118	796
13	123	760
14	128	728
15	133	699
16	138	674
17	143	652
18	150	642
19	155	623
20	160	603
21	164	584
22	169	567
23	173	550
24	178	535
25	183	521
26	187	508
27	193	497
28	198	485
29	202	472
30	207	461
31	211	450
32	216	439
33	220	428
34	225	418
35	229	408
36	234	398
37	238	389
38	243	381
39	248	372
40	252	364
41	258	357
42	264	351
43	269	342
44	274	335
45	279	327
46	283	319
47	288	312
48	292	304
49	298	298
50	303	291
51	308	285
52	313	278
53	318	271
54	322	264
55	327	257
56	332	250
57	336	243
58	341	237
59	346	230
60	351	224
61	355	217
62	360	211
63	364	205
64	369	198
65	373	192
66	378	186
67	382	180
68	387	174
69	392	168
70	396	162
71	401	156
72	406	150
73	410	144
74	415	138
75	419	132
76	424	126
77	428	120
78	433	115
79	438	109
80	442	103
81	447	98
82	451	92
83	456	86
84	460	81
85	465	75
86	470	70
87	474	64
88	478	59
89	483	53
90	488	48
91	493	42
92	497	37
93	502	32
94	507	26
95	511	21
96	516	15
97	521	10
98	525	5
99	530	0
