urls,category,keyword1,freq1,keyword2,freq2,keyword3,freq3,keyword4,freq4,keyword5,freq5,keyword6,freq6,keyword7,freq7,keyword8,freq8,keyword9,freq9,keyword10,freq10
http://2vy3seh2uzpsri2rxxtqgm5dftm52v6dz2ot2gegfwkk2dznagwuirqd.onion/,marketplace ,escrow,24,drugs,24,protected,23,vendor,22,quick,20,view,20,atmbro,20,items,14,pills,14,guides,9
http://3x3augxx3p4ihmsxpywjbblbojuafyolm2nkwv5frbim4jwwhcq2fcyd.onion/,marketplace ,services,9,offer,8,order,7,carding,5,money,5,hashkeys,4,cash,4,flip,4,card,3,crypto,3
http://4kqc46hixw66zqvpzzsbggjuo66wpikr26enzeuw32lioo4wh5zkx2yd.onion/,marketplace ,gift,28,card,26,cards,11,payment,11,gamecard,10,gamecards,5,email,5,amazon,5,itunes,5,google,5
http://7hpnx3iiw4avlwtgswebizf5qofxcap6b73etqz4leqlp73dopemx5yd.onion/,marketplace ,transfer,9,perfectmoney,9,lordpay,8,using,7,accounts,7,good,6,paypal,6,funds,6,sent,6,chargebacks,6
http://6revo66osvjadkjccqoihxn4h62pu3ccd2pmsql2x6tivx5amm3cpjyd.onion/,marketplace ,show,17,cocaine,9,united,5,pills,4,high,4,germany,4,revolution,3,marketplace,3,screen,3,ketamine,3
http://3epkneltjskkpkwzh2jrproigp4ln7p4ndszoarp3nmspbvgwn4c4nqd.onion/,marketplace ,send,21,mail,20,address,15,name,14,code,14,country,14,comments,14,skimmer,11,insert,7,diebold,5
http://globdealh3hpoqdvqj6nixyzvhjucflff4tv65hzcfqz5ckwnajnepqd.onion/,marketplace ,stock,41,crypto,33,hacking,27,transfers,22,cards,22,services,14,account,13,credit,12,money,12,prepaid,11
http://gifthub7svcjtczkkfyg5fgdj6l7uhfppivk773uyq7h6g7qpuqd3dad.onion/?page=index,marketplace ,show,114,gift,112,card,108,apple,34,google,32,play,31,amazon,21,steam,11,cards,10,netflix,9
http://3bp7szl6ehbrnitmbyxzvcm3ieu7ba2kys64oecf4g2b65mcgbafzgqd.onion/,marketplace ,passports,8,passport,5,info,3,pictures,3,real,2,original,2,information,2,send,2,country,2,price,2
http://45xl2r2x6u4x2p7yxt5ix3ddqtvdzwr3bzdmlb7yvho5ukfmp7akvlid.onion/,marketplace ,cannabis,4,drugs,2,home,2,seeds,2,cocaine,2,ecstasy,2,meth,2,crystal,2,deep,1,deepweb,1
